word,value
normal,1
Überlegenheit,1
Gleichheit,1
angenehm,1
freundlich,1
ehrenwert,1
Sympathie,1
akzeptiert,1
besser,1
national,1
rein,1
überlegen,1
sauber,1
ehrenhaft,1
seltsam,-1
Unterlegenheit,-1
Ungleichheit,-1
unangenehm,-1
boshaft,-1
schändlich,-1
Hass,-1
Haß,-1
abgelehnt,-1
schlechter,-1
fremdländisch,-1
unrein,-1
unterlegen,-1
schmutzig,-1
verseucht,-1
schädlich,-1
niederträchtig,-1
