epoch_id,epoch_beginning_date,epoch_ending_date,ep_start,ep_end,written_form,written_form_short
1,01.01.1949,31.12.1959,1,3,1949-1959,1950er
2,01.01.1960,31.12.1969,3,6,1960-1969,1960er
3,01.01.1970,31.12.1979,6,8,1970-1979,1970er
4,01.01.1980,02.10.1990,8,11,1980-1990,1980er
5,03.10.1990,20.10.1998,11,13,1990-1998,1990er
6,21.10.1998,31.12.2009,14,17,1998-2009,2000er
7,01.01.2010,31.12.2019,17,19,2010-2019,2010er
8,01.01.2020,31.12.2023,19,20,2020-2023,2020er
