expected_senti_key,senti_mean,senti_max,senti_min,sentiword_set
-1.0,-0.1894327096,-0.15065889,-0.2645245,standard
-0.75,-0.13438250476,-0.11444907,-0.15055889,standard
-0.5,-0.0871940196,-0.052456094,-0.11434907,standard
-0.25,-0.030673105691999995,-0.0022154748,-0.052356094,standard
0.0,0.0,0.0021154748000000003,-0.0021154748000000003,standard
0.25,0.030673105691999995,0.052356094,0.0022154748,standard
0.5,0.0871940196,0.11434907,0.052456094,standard
0.75,0.13438250476,0.15055889,0.11444907,standard
1.0,0.1894327096,0.2645245,0.15065889,standard
-1.0,-0.12141821823529411,-0.09928791000000001,-0.16122404,political
-0.75,-0.08079645588235296,-0.061858023000000005,-0.09918791,political
-0.5,-0.051323350117647056,-0.03381717,-0.061758023,political
-0.25,-0.019063008501875,-0.00095933303,-0.03371717,political
0.0,0.0,0.00085933303,-0.00085933303,political
0.25,0.019063008501875,0.03371717,0.00095933303,political
0.5,0.051323350117647056,0.061758023,0.03381717,political
0.75,0.08079645588235294,0.09918791,0.061858023000000005,political
1.0,0.12141821823529411,0.16122404,0.09928791000000001,political
-1.0,-0.15238704136363634,-0.1255791,-0.18968977,combination
-0.75,-0.1081956520909091,-0.08507451,-0.1254791,combination
-0.5,-0.06450213618181816,-0.044473676000000004,-0.08497451,combination
-0.25,-0.023318773999999997,-0.0029661655,-0.044373676,combination
0.0,0.0,0.0028661655,-0.0028661655,combination
0.25,0.023318774,0.044373676,0.0029661655,combination
0.5,0.06450213618181816,0.08497451,0.044473676000000004,combination
0.75,0.1081956520909091,0.1254791,0.08507451,combination
1.0,0.15238704136363637,0.18968977,0.1255791,combination
